source,url,label
openphish,http://secure-account-check.example-login.net/confirm,1
openphish,http://verify-banking-user.example-alert.org/login,1
openphish,http://update-security-token.example-auth.co/reset,1
openphish,http://mail-auth-verify.example-helpdesk.com/signin,1
openphish,http://customer-secure-gateway.example-bank.net/account,1
openphish,http://billing-confirmation.example-wallet.org/verify,1
openphish,http://webmail-session-lock.example-security.co/login,1
openphish,http://office365-auth-update.example-cloud.net/confirm,1
openphish,http://apple-id-verify.example-mobile.org/signin,1
openphish,http://payment-warning.example-invoice.co/update-account,1
openphish,http://token-refresh.example-passport.net/secure,1
openphish,http://mybank-alert.example-finance.org/confirm-password,1
openphish,http://verify-now.example-client.co/login,1
openphish,http://security-checkpoint.example-service.net/account/confirm,1
openphish,http://urgent-validation.example-pay.org/signin,1
openphish,http://password-expired.example-identity.co/reset,1
openphish,http://account-audit.example-access.net/verify-user,1
openphish,http://session-recovery.example-protect.org/login-now,1
openphish,http://confirm-billing.example-wallet.co/secure-login,1
openphish,http://signin-update.example-support.net/verify,1
